"person_id","screening_date","general_two_year","general_six_month","years","recidnot","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_two_year","violent_six_month","nullcharge"
64,2014-03-03,1,1,0.166666666666667,0,0,0,1,0,0,0,1,0,1,1,0
64,2014-05-04,1,1,0.332135523613963,0,0,0,1,0,0,0,1,0,1,1,0
65,2014-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
66,2014-03-28,1,1,0.0219028062970568,0,0,0,0,1,0,0,0,1,1,1,0
67,2014-05-19,1,1,0.0246406570841889,0,0,0,1,0,0,0,1,0,0,0,0
68,2013-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
69,2014-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
70,2013-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
71,2013-06-03,1,0,1.20773442847365,0,0,0,1,0,0,0,0,0,0,0,0
72,2013-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
73,2014-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
74,2014-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,2013-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
76,2014-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
77,2014-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
78,2014-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
79,2013-03-18,0,0,2.94404517453799,1,0,0,0,0,0,0,0,0,0,0,0
80,2013-09-18,1,0,1.57939767282683,0,1,0,1,0,0,0,0,0,0,0,0
81,2014-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
82,2014-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
83,2013-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84,2013-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
85,2013-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
86,2014-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
87,2013-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88,2013-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
89,2014-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
90,2014-08-30,1,1,0.118925393566051,0,1,0,1,0,1,0,1,0,0,0,0
91,2013-02-04,1,0,0.74880219028063,0,0,0,1,0,0,0,0,0,0,0,0
92,2013-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
93,2013-11-16,1,0,1.01642710472279,0,1,0,1,0,0,0,0,0,0,0,0
94,2014-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
95,2013-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
96,2013-01-26,1,0,0.576659822039699,0,0,0,0,1,0,0,0,0,1,0,0
96,2013-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
97,2013-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
98,2014-04-30,1,0,0.527378507871321,0,1,0,0,1,0,0,0,0,0,0,0
98,2014-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
99,2014-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
100,2013-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
101,2013-01-13,1,0,0.885352498288843,0,0,0,1,0,0,0,0,0,1,0,0
101,2014-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
102,2013-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
103,2014-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
104,2013-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
105,2013-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
106,2014-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
107,2013-01-07,1,0,0.694045174537988,0,0,0,1,0,0,0,0,0,1,0,0
107,2013-09-18,1,0,0.957734428473648,0,0,0,0,1,0,0,0,0,1,0,0
108,2014-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
109,2014-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
110,2014-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
111,2013-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
112,2014-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
113,2013-08-25,1,0,1.11344969199179,0,0,0,1,0,0,0,0,0,0,0,0
114,2013-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
115,2013-11-08,1,1,0.0301163586584531,0,1,0,0,1,1,0,0,1,1,1,0
116,2014-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
116,2014-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
117,2014-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
118,2014-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
119,2013-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
120,2013-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
121,2014-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
122,2013-02-21,1,1,0.1572553045859,0,0,0,0,1,0,0,0,1,0,0,0
122,2013-04-18,1,0,0.519164955509925,0,0,0,0,1,0,0,0,0,1,0,0
122,2014-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
123,2014-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
124,2014-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
125,2013-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
126,2014-06-24,1,0,1.38809034907598,0,0,0,1,0,0,0,0,0,0,0,0
127,2014-08-07,1,1,0.496064339493498,0,0,0,1,0,0,0,1,0,0,0,0
128,2013-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
129,2014-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
130,2013-10-03,1,1,0.323921971252567,0,0,0,0,1,0,0,0,1,1,1,0
131,2014-01-16,1,1,0.482375085557837,0,0,0,1,0,0,0,1,0,1,0,0
132,2014-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
133,2014-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
134,2014-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
135,2014-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
136,2013-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
137,2014-04-29,1,1,0.0739219712525667,0,1,0,1,0,1,0,1,0,0,0,0
138,2013-01-12,1,0,1.03285420944559,0,0,0,1,0,0,0,0,0,0,0,0
139,2013-04-20,1,0,0.691307323750856,0,1,0,0,1,0,0,0,0,0,0,0
140,2013-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
141,2014-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
142,2014-12-13,1,1,0.399041752224504,0,0,0,1,0,0,0,1,0,1,0,0
143,2013-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
144,2014-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
145,2013-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
146,2013-02-13,1,1,0.177618069815195,0,1,0,0,1,1,0,0,1,1,0,0
147,2013-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
148,2013-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
149,2013-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
150,2013-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
151,2014-11-14,1,1,0.282854209445585,0,0,0,0,1,0,0,0,1,1,1,0
152,2014-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
153,2013-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
154,2013-09-05,1,1,0.14356605065024,0,0,0,1,0,0,0,1,0,1,1,0
155,2014-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
156,2013-04-11,1,1,0.0739219712525667,0,0,0,0,1,0,0,0,1,1,1,0
157,2013-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
158,2014-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
159,2013-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
160,2014-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
161,2014-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
162,2014-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
163,2013-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
164,2014-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
165,2014-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
166,2013-03-02,1,1,0.0657084188911704,0,0,1,0,1,0,1,0,1,1,1,0
166,2013-03-26,1,1,0.102498288843258,0,0,1,0,1,0,1,0,1,1,1,0
167,2014-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
168,2014-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
169,2013-01-16,1,1,0.149041752224504,0,1,0,0,1,1,0,0,1,0,0,0
170,2013-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
171,2013-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
172,2014-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
173,2013-11-17,1,0,0.94678302532512,0,1,0,1,0,0,0,0,0,0,0,0
174,2013-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
175,2013-03-16,1,1,0.0027378507871321,0,0,0,0,1,0,0,0,1,1,1,0
175,2013-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
176,2013-09-06,1,0,0.782854209445585,0,0,0,1,0,0,0,0,0,0,0,0
177,2013-11-13,1,0,1.07939767282683,0,0,1,0,1,0,0,0,0,1,0,0
178,2014-01-11,1,1,0.232375085557837,0,0,0,1,0,0,0,1,0,0,0,0
179,2014-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
180,2013-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
181,2014-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
182,2013-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
183,2013-02-26,1,1,0.1572553045859,0,0,1,0,1,0,1,0,1,1,0,0
184,2014-11-15,1,0,0.685831622176591,0,0,0,0,1,0,0,0,0,0,0,0
185,2014-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
186,2014-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
187,2013-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
188,2014-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
189,2013-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
190,2013-12-29,1,0,1.05475701574264,0,0,1,1,0,0,0,0,0,1,0,0
191,2014-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
192,2014-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
193,2014-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
194,2013-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
195,2013-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
196,2014-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
197,2013-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
198,2014-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
199,2013-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
200,2013-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
201,2014-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
202,2014-12-19,1,0,1.15177960301164,0,0,0,1,0,0,0,0,0,1,0,0
203,2014-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
204,2014-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
205,2013-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
206,2014-11-19,1,1,0.30201916495551,0,0,1,0,1,0,1,0,1,1,1,0
207,2014-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
208,2014-01-27,1,0,0.594284736481862,0,0,0,1,0,0,0,0,0,1,0,0
209,2014-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
210,2013-01-02,1,0,1.67214236824093,0,1,0,0,1,0,0,0,0,0,0,0
211,2014-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
212,2014-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
213,2013-09-05,1,1,0.132614647501711,0,0,1,1,0,0,1,1,0,1,1,0
214,2013-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
215,2013-01-17,0,0,3.12166324435318,1,0,0,0,0,0,0,0,0,0,0,0
216,2013-04-02,1,1,0.0574948665297741,0,0,0,1,0,0,0,1,0,0,0,0
216,2014-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
217,2014-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
218,2013-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
219,2014-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
220,2013-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
221,2014-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
222,2013-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
223,2014-04-19,1,1,0.352498288843258,0,0,0,1,0,0,0,1,0,1,1,0
224,2014-12-19,1,1,0.0657084188911704,0,1,0,0,1,1,0,0,1,1,1,0
225,2013-12-26,1,0,0.513689253935661,0,1,0,1,0,0,0,0,0,1,0,0
226,2014-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
227,2014-10-23,1,1,0.326659822039699,0,0,0,1,0,0,0,1,0,0,0,0
228,2013-01-11,1,0,0.755475701574264,0,1,0,0,1,0,0,0,0,0,0,0
228,2013-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
229,2013-04-16,1,1,0.0492813141683778,0,1,0,1,0,1,0,1,0,0,0,0
230,2014-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
231,2013-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
232,2014-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
233,2014-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
234,2013-04-27,1,0,1.4878507871321,0,0,1,1,0,0,0,0,0,1,0,0
235,2013-05-15,1,1,0.0970225872689938,0,0,1,1,0,0,1,1,0,1,1,0
236,2014-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
237,2013-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
238,2014-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
239,2013-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
240,2013-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
241,2013-03-10,1,0,0.624401095140315,0,0,0,1,0,0,0,0,0,0,0,0
242,2013-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
243,2014-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
244,2013-05-02,1,1,0.0383299110198494,0,0,0,0,1,0,0,0,1,0,0,0
245,2013-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
246,2013-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
247,2014-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
248,2013-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
249,2013-02-11,1,1,0.0602327173169062,0,0,0,1,0,0,0,1,0,0,0,0
250,2014-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
251,2014-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
252,2013-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
253,2014-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
254,2013-09-17,1,1,0.0860711841204654,0,0,0,1,0,0,0,1,0,0,0,0
255,2014-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
256,2014-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
257,2013-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
258,2013-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
259,2013-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
260,2013-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
261,2014-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
262,2013-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
263,2013-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
264,2013-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
265,2013-03-18,1,0,1.3184462696783,0,0,0,1,0,0,0,0,0,1,0,0
266,2013-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
267,2013-03-14,1,0,1.4194045174538,0,0,0,1,0,0,0,0,0,0,0,0
268,2014-09-20,1,0,0.852498288843258,0,0,0,0,1,0,0,0,0,0,0,0
269,2014-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
270,2014-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
271,2014-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
272,2014-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
273,2014-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
274,2014-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
275,2014-04-24,1,0,0.546543463381246,0,0,0,1,0,0,0,0,0,0,0,0
276,2013-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
277,2013-02-03,1,1,0.0246406570841889,0,0,1,0,1,0,1,0,1,1,1,0
277,2014-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
278,2014-01-06,1,1,0.485112936344969,0,0,0,1,0,0,0,1,0,0,0,0
279,2013-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
280,2013-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
281,2013-06-11,0,0,2.58213552361396,1,0,0,0,0,0,0,0,0,0,0,0
282,2014-02-17,1,0,1.67214236824093,0,0,0,1,0,0,0,0,0,1,0,0
283,2014-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
284,2014-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
285,2013-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
286,2013-08-28,1,0,0.793805612594114,0,1,0,0,1,0,0,0,0,0,0,0
287,2013-12-24,1,1,0.288329911019849,0,0,0,1,0,0,0,1,0,1,1,0
287,2014-10-09,1,1,0.154517453798768,0,0,0,1,0,0,0,1,0,1,1,0
288,2014-03-02,1,0,1.06570841889117,0,1,0,0,1,0,0,0,0,0,0,0
289,2014-11-14,1,1,0.476899383983573,0,1,0,0,1,1,0,0,1,1,1,0
290,2014-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
291,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
292,2014-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
293,2014-04-26,1,0,0.871663244353183,0,0,1,0,1,0,0,0,0,1,0,0
294,2014-01-31,1,0,0.715947980835045,0,0,0,1,0,0,0,0,0,0,0,0
295,2014-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
296,2014-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
297,2013-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
298,2014-01-28,1,0,1.64082819986311,0,0,0,0,1,0,0,0,0,0,0,0
299,2013-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
300,2013-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
301,2013-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
302,2014-07-13,1,0,0.871663244353183,0,0,1,0,1,0,0,0,0,1,0,0
303,2014-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
304,2014-10-08,1,1,0.146303901437372,0,0,1,0,1,0,1,0,1,1,1,0
305,2013-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
306,2013-04-18,1,0,1.03832991101985,0,1,0,0,1,0,0,0,0,0,0,0
307,2014-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
308,2013-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
309,2014-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
310,2013-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
311,2013-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
312,2013-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
313,2013-10-10,1,0,0.594284736481862,0,0,1,0,1,0,0,0,0,1,0,0
314,2014-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
