"person_id","screening_date","sex","race","age_at_current_charge","age_at_first_charge","p_charges","p_incarceration","p_probation","p_juv_fel_count","p_felprop_viol","p_murder","p_felassault","p_misdeassault","p_famviol","p_sex_offense","p_weapon","p_fta_two_year","p_fta_two_year_plus","current_violence","current_violence20","p_pending_charge","p_felony","p_misdemeanor","p_violence","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","six_month","one_year","three_year","five_year","general_two_year","general_six_month","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","violent_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_six_month"
1173,2013-11-27,1,"African-American",39,18,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,3,5,1,8,9,1,0,6,1,0,0,0,0,1,0,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1177,2014-02-24,1,"Caucasian",44,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1179,2013-03-31,1,"African-American",34,29,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1181,2013-08-24,0,"African-American",32,22,8,0,2,0,0,0,2,1,0,0,0,0,0,1,0,2,2,1,2,3,6,1,0,2,0,0,0,0,0,0,0,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1186,2013-08-13,1,"Caucasian",22,18,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"1","1","0","1","1","0","1","0","1","1","0","1"
1192,2013-10-11,1,"African-American",54,25,25,1,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,20,15,4,0,18,0,0,0,0,0,1,4,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1195,2014-01-09,0,"African-American",34,23,13,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,3,9,6,2,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1198,2013-05-10,1,"Caucasian",28,25,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1208,2013-05-23,1,"Caucasian",45,38,7,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,6,2,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1209,2014-03-12,1,"Caucasian",18,16,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1212,2013-08-12,0,"African-American",22,18,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1213,2014-01-13,0,"African-American",34,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1214,2013-10-13,1,"African-American",24,19,11,1,2,0,1,0,1,1,0,0,0,1,0,1,0,5,1,2,1,3,4,2,0,2,0,0,0,0,0,2,1,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1216,2013-10-15,1,"Caucasian",25,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1217,2013-01-11,1,"African-American",33,31,9,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,7,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
122,2013-02-21,1,"African-American",26,19,16,1,0,0,2,0,2,2,0,0,0,0,0,0,0,6,2,3,6,5,11,2,0,7,0,0,0,0,0,2,0,0,1,1,1,"1","1","0","0","0","1","0","0","0","0","1","0"
122,2013-04-18,1,"African-American",27,19,18,1,0,0,2,0,2,2,0,0,0,0,0,0,0,11,2,5,6,7,12,2,0,8,0,0,0,0,0,2,0,1,1,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1221,2013-12-20,1,"Other",27,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,2,2,0,0,0,0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1229,2014-02-11,1,"African-American",33,25,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,8,9,0,0,7,1,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1233,2013-08-20,1,"Caucasian",24,18,14,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,5,0,5,4,1,0,1,1,0,0,0,0,1,0,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1235,2013-03-20,1,"African-American",25,18,36,0,2,0,3,0,0,0,0,0,1,0,0,0,0,25,2,14,4,16,14,5,0,5,1,0,0,0,0,3,1,0,1,1,1,"1","0","1","0","0","1","1","0","0","0","0","0"
1239,2013-01-27,1,"African-American",30,22,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,9,3,0,3,0,0,0,0,0,3,2,1,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","0"
1240,2013-04-11,1,"African-American",26,16,36,0,3,0,0,1,1,1,0,0,1,0,0,0,0,25,3,12,3,15,16,2,0,9,2,0,0,0,0,0,2,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1242,2013-05-14,0,"Other",34,34,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1244,2014-03-24,1,"Caucasian",45,40,8,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1246,2014-02-23,1,"African-American",23,18,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,1,2,2,5,3,0,1,0,0,0,0,0,3,1,0,0,1,1,"1","0","0","1","0","1","1","0","0","0","0","0"
1248,2013-09-04,1,"Caucasian",37,18,6,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1250,2013-09-09,1,"African-American",33,18,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,11,1,14,18,1,0,9,2,0,0,0,0,1,0,0,0,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1254,2013-01-29,1,"African-American",40,17,30,0,1,2,5,0,0,0,0,0,1,0,0,0,0,25,5,13,5,18,16,5,0,6,0,0,0,0,0,5,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1255,2013-08-15,1,"African-American",22,16,16,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1256,2014-03-19,1,"African-American",46,16,36,1,3,1,4,0,5,4,0,0,1,2,0,1,0,14,8,10,12,19,28,5,4,8,1,0,0,0,0,4,1,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
1257,2013-01-01,1,"African-American",19,19,3,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
1257,2013-01-30,1,"African-American",19,19,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,2,0,0,0,0,0,0,0,2,0,1,1,1,1,"1","1","1","0","0","1","1","1","0","0","1","1"
1257,2013-03-21,1,"African-American",19,19,8,1,0,0,2,0,0,1,0,0,0,0,0,1,1,4,0,1,3,1,4,2,0,1,0,0,0,0,0,2,0,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1258,2013-04-08,1,"African-American",49,16,20,1,2,1,6,0,0,1,0,0,0,0,0,1,0,13,9,5,9,14,13,13,0,3,0,0,0,0,0,13,3,0,0,0,1,"1","1","0","1","0","1","1","0","1","0","1","1"
1262,2013-04-12,1,"Caucasian",53,47,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1264,2014-02-09,1,"African-American",60,24,52,1,3,0,9,0,3,0,0,0,1,0,0,1,0,34,17,17,17,34,36,24,0,11,2,0,0,0,0,21,9,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1268,2013-03-31,1,"African-American",25,19,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","0","0","1","1","1","0","0","1","1"
1269,2014-01-03,1,"African-American",27,21,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1274,2013-05-06,1,"Other",40,34,9,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1280,2014-01-29,1,"Caucasian",24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,3,7,1,0,2,0,0,0,0,0,1,1,0,1,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1286,2013-04-06,1,"Caucasian",21,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"1","1","0","0","0","1","0","0","0","0","1","0"
1290,2013-04-06,1,"African-American",23,17,9,0,2,0,1,0,1,3,0,0,0,0,0,1,0,4,2,4,4,6,6,2,0,0,0,0,0,0,0,2,1,0,0,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1290,2013-05-27,1,"African-American",23,17,14,1,2,0,1,0,1,3,0,0,0,0,0,0,0,4,2,4,5,6,7,2,0,0,0,0,0,0,0,2,1,1,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1290,2013-09-30,1,"African-American",24,17,15,1,2,0,1,0,1,4,0,0,0,0,0,1,0,9,2,5,5,7,8,2,0,0,0,0,0,0,0,2,1,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1292,2013-05-28,1,"Caucasian",45,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1293,2014-03-29,1,"African-American",22,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1297,2013-02-25,0,"Hispanic",27,24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1298,2013-05-09,1,"African-American",21,17,10,0,2,0,0,0,0,3,0,0,0,0,0,1,0,8,0,4,2,4,7,0,0,2,2,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1305,2013-02-13,1,"African-American",33,18,18,1,2,0,0,0,1,0,0,0,1,0,0,0,0,2,7,4,1,11,11,1,0,11,0,0,0,0,0,0,1,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1306,2013-01-30,1,"African-American",27,20,15,0,2,0,1,0,0,2,0,0,0,0,0,0,0,13,4,5,3,9,5,1,0,9,0,0,0,0,0,1,0,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
131,2014-01-16,1,"African-American",19,17,7,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,3,4,0,1,0,0,0,0,0,4,2,0,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","0"
1313,2013-04-18,1,"African-American",22,21,7,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1314,2013-05-06,1,"African-American",28,16,43,0,3,0,1,0,0,0,0,0,0,0,0,0,0,28,5,15,1,20,20,1,3,13,2,0,0,0,0,1,0,0,0,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1318,2013-09-25,1,"African-American",37,18,30,0,6,0,0,0,0,1,0,0,0,0,0,0,0,13,4,17,1,21,22,1,0,11,3,0,0,0,0,1,1,0,0,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
